m/z,rt,row ID,GRAPE-221775.mzML Peak area,GRAPE-221831.mzML Peak area,QC_001.mzML Peak area,QC_002.mzML Peak area,GRAPE-221800.mzML Peak area,GRAPE-221789.mzML Peak area,GRAPE-221870.mzML Peak area,GRAPE-221784.mzML Peak area,QC_004.mzML Peak area,QC_003.mzML Peak area,GRAPE-221776.mzML Peak area,GRAPE-221873.mzML Peak area,QC_005.mzML Peak area,GRAPE-221871.mzML Peak area,GRAPE-221872.mzML Peak area,GRAPE-221875.mzML Peak area,GRAPE-221834.mzML Peak area,GRAPE-221844.mzML Peak area,GRAPE-221833.mzML Peak area,GRAPE-221845.mzML Peak area,GRAPE-221837.mzML Peak area,GRAPE-221838.mzML Peak area,GRAPE-221848.mzML Peak area,GRAPE-221836.mzML Peak area,GRAPE-221856.mzML Peak area,GRAPE-221835.mzML Peak area,GRAPE-221849.mzML Peak area,GRAPE-221846.mzML Peak area,GRAPE-221857.mzML Peak area,GRAPE-221847.mzML Peak area,GRAPE-221832.mzML Peak area,GRAPE-221843.mzML Peak area,GRAPE-221868.mzML Peak area,GRAPE-221859.mzML Peak area,GRAPE-221850.mzML Peak area,GRAPE-221860.mzML Peak area,GRAPE-221858.mzML Peak area,GRAPE-221869.mzML Peak area
159.9780883,1.12669,feature_12,153070.47,133312.44,147879.44,141076.72,139844.1,124388.58,133528.64,200289.84,140607.45,135145.3,191306.77,136205.28,144231.72,163432.22,150295.62,183984.8,127019.26,135931.61,113249.6,114519.97,125047.95,159365.9,141745.7,140490.31,143854.31,154645.1,145908.12,130341.555,169379.69,134597.39,160278.31,149543.8,130692.43,132720.25,150406.72,129773.29,137390.73,178617.77
114.9870211,1.1295875,feature_26,35397.57,31474.37,37580.89,35930.54,32898.95,28788.957,35561.984,47026.184,38478.656,33904.633,50788.996,38705.133,41025.555,39924.688,41268.223,50773.11,34817.402,35119.54,28675.346,26124.395,30298.762,41335.945,36315.016,33636.773,39304.85,38742.484,39239.4,33759.254,40295.883,35184.668,38048.977,36933.652,32523.66,36155.44,41803.68,35934.652,32409.732,52024.246
273.9594652,1.1301533,feature_27,129481.83,101340.38,119538.62,123881.12,119829.11,112031.56,129198.65,235328.44,135733.92,129864.38,214096.95,121197.7,148481.7,160272.97,151934.88,226834.97,115353.32,124123.375,96762.836,87244.6,101726.734,165664.34,136003.89,118436.016,148009.23,162084.94,144552.94,114636.41,175851.86,127712.07,160943.17,142759.66,115307.125,126337.95,148191.8,121532.375,122176.89,210460.36
274.9558591,1.1301566,feature_28,137647.38,104318.45,118160.695,114502.58,115133.4,101785.51,127151.47,216252.03,131523.2,129066.62,204243.3,124836.44,143905.86,154910.39,153210.77,217206.78,112339.734,121908.98,90119.836,83488.875,97503.67,160305,135806.28,113291.63,140455.8,153060.5,145571.75,115159.97,165775.47,123865.07,143614.53,138391.39,116793.055,128017.97,141552.06,125799.27,114509.625,207078.23
502.9160865,1.130195,feature_29,0,7952.0625,9111.553,9551.438,10771.817,7796.047,10862.728,31044.559,10897.702,11414.04,23751.484,8874.517,13582.912,14412.615,13869.613,27598.05,10098.74,9989.316,5854.8135,5013.2007,6123.5283,16451.252,10027.87,7207.042,11913.829,15101.025,12227.174,9662.617,17175.756,10172.781,15162.056,12018.211,8933.555,9647.1455,11126.838,8689.3125,10072.256,24668.701
500.9180006,1.1302048,feature_31,18971.605,11941.578,16019.083,16247.109,17024.742,13481.737,16109.618,47533.355,19705.984,18841.494,36763.5,15925.229,19912.863,23556.523,21794.818,45537.836,15875.053,17566.27,11127.694,10984.147,11043.516,27753.74,17658.64,14256.19,20426.209,24951.043,19618.54,15789.389,25797.678,15041.652,25614.05,19847.027,14096.521,16297.805,18492.973,15057.9375,16120.713,40146.72
776.8081724,1.1303214,feature_33,0,2798.981,3595.363,0,0,3496.845,0,0,0,0,0,0,4479.6504,0,5452.102,0,0,0,0,3139.5334,0,3588.6128,6864.0195,4982.255,4050.1106,0,4946.841,3049.451,3164.351,0,3684.7168,3918.7424,0,4850.5835,0,4089.2534,3368.4302,0
272.9584106,1.1304399,feature_34,532389.6,436395.1,471117.56,449371.34,451653.47,417209.38,518155.78,813539.94,534105.44,502581.3,767564.06,482163.66,555708.2,623252.06,596581.4,843099.6,443559.28,482611.8,361597,355475.03,397545.25,634692.8,528097.9,494389.6,564056.56,594183.25,583694.3,465500.03,664353.4,502831.78,591736.5,565709.44,454316.44,503411.84,590986.3,486955.3,473467.9,816718.4
387.9393359,1.1304412,feature_35,33965.996,26154.727,31807.373,30267.082,33816.64,25447.209,32108.117,80121.21,35280.793,32689.83,59849.965,26605.648,39466.17,42787.97,38934.58,73934.58,27910.852,28798.201,20261.18,19163.47,21650.086,45632.99,34193.188,29631.385,33993.312,45212.527,40265.516,26922.643,48827.445,29564.871,45826.62,38861.168,27528.977,33584.816,36945.51,30762.02,29156.496,63137.934
403.9168646,1.1304398,feature_36,44836.082,36283.535,40132.133,40270.457,38149.39,37756.023,49192.203,46769.91,46038.145,45554.36,53181.684,41974.934,49393.16,52234.69,54391.297,60500.586,38484.51,43235.25,31318.338,34034.062,33298.3,48247.848,54297.332,49190.727,52204.668,49648.35,55238.203,40855.97,51383.637,51059.05,49570.754,46851.863,40525.87,50462.83,58405.23,49170.996,42482.543,61913.97
160.9747803,1.1304833,feature_37,181646.39,162255.5,172560.19,159843.53,160367.75,147304.78,161344.88,216613.66,165724.08,163117.89,225772.42,165144.66,171125.11,198722.61,177673.06,223904.5,154413.34,163190.55,139433.78,135816.06,152395.83,192295.34,171930.1,164770.14,175074.42,190909.52,176795.73,160443.69,204119.12,159973.78,186642.4,180383.17,155665.53,159120.33,182373.88,161934.81,159221.11,207813.1
276.9531688,1.1305258,feature_39,0,4697.348,5453.7617,0,5646.1465,4830.24,6020.4155,10484.263,6182.0796,6643.2886,10313.07,0,6646.6357,6894.4805,7164.8174,10609.394,5710.565,6218.012,4230.3623,3176.7756,4157.078,0,5708.419,0,6615.6533,7112.418,8046.908,5290.951,8580.785,4803.8564,7181.601,7647.177,5073.1387,4973.739,7257.47,5007.8154,5744.7217,10244.202
630.874812,1.130575,feature_40,0,6065.6133,6327.552,6214.0117,6225.6743,0,8423.815,14073.71,8339.048,8064.3604,0,7176.4966,9287.51,11500.789,9982.957,14403.283,7951.5454,0,0,0,0,11314.791,8708.005,5446.4385,8939.868,10570.309,9013.064,5271.433,10015.75,6777.991,9379.017,0,6388.0513,7231.5957,9755.042,6922.9326,7802.0703,15330.53
388.9356023,1.1307244,feature_41,33596.523,25018.178,28217.574,28027.87,30143.469,24849.941,31734.61,72255.055,35806.707,32958.16,56703.01,29042.709,33315.46,39764.145,37374.973,71168.875,27807.611,27205.596,18934.46,19262.883,22363.627,44074.875,31019.953,28446.26,35410.195,42603.33,38567.766,28446.61,45702.617,29556.133,41732.09,37812.2,27826.348,32652.355,35654.42,29884.092,27295.78,62146.707
386.9382645,1.1307247,feature_42,84156.54,66811.33,77972.77,74035.56,78834.27,64822.92,81188.984,191109.56,91959.77,95322.35,144281.94,81110.414,104849.016,103633.36,103296.32,190785.06,74939.19,83658.88,53939.51,52917.71,56034.508,125829.52,85162.7,78056.29,97329.62,114392.09,97191.53,77347.72,117968.195,78871.6,111529.11,98865.805,68217.484,85471.086,97382.305,79709.83,76568.555,167621.5
402.9156191,1.1307312,feature_43,172345.61,134678.88,150579.77,143427.9,130331.195,136560.89,190503.81,162813.62,169476.38,170874.62,200953.12,168983.08,194897.4,194111.72,206249.88,211982.1,136126.36,155086.3,123210.445,120080.15,139220.92,195518.8,213369.2,174128.38,195511.39,180179.58,202854.12,154810.84,182805.81,188227.7,179002.53,182026.98,143435,185213.06,212869.17,161440.34,167066.72,238679.58
292.9286652,1.1307472,feature_44,7002.547,4814.285,5733.413,5529.777,4754.8975,5526.3984,7306.548,5082.4126,6662.282,0,0,7092.289,6258.2417,7288.4355,7848.997,0,5603.9736,7311.812,0,0,5830.475,0,7298.798,0,6803.629,5930.826,8042.46,5897.2783,7570.547,6688.918,6287.019,0,0,7098.74,0,6569.629,6666.54,8494.32
517.8964789,1.1307294,feature_45,22335.207,15394.617,17284.223,18619.836,16939.201,17162.025,21047.91,27682.492,21037.436,19625.145,31180.078,19520.447,21983.785,25187.406,24490.586,29665.518,17779.496,19416.46,15132.667,13658.472,16295.728,25334.777,23766.635,19482.148,23434,23484.297,25866.072,16338.984,22186.055,20961.793,24351.998,22132.242,16921.832,21068.357,23540.43,18687.857,20584.666,31948.115
