"","Compound.Name","Class","Adduct.BT","Actual.m.z","Experimental.m.z","RT","Predicted.RT","Percent.Match.RT","row.ID","GRAPE.221775.mzML.Peak.area","GRAPE.221831.mzML.Peak.area","QC_001.mzML.Peak.area","QC_002.mzML.Peak.area","GRAPE.221800.mzML.Peak.area","GRAPE.221789.mzML.Peak.area","GRAPE.221870.mzML.Peak.area","GRAPE.221784.mzML.Peak.area","QC_004.mzML.Peak.area","QC_003.mzML.Peak.area","GRAPE.221776.mzML.Peak.area","GRAPE.221873.mzML.Peak.area","QC_005.mzML.Peak.area","GRAPE.221871.mzML.Peak.area","GRAPE.221872.mzML.Peak.area","GRAPE.221875.mzML.Peak.area","GRAPE.221834.mzML.Peak.area","GRAPE.221844.mzML.Peak.area","GRAPE.221833.mzML.Peak.area","GRAPE.221845.mzML.Peak.area","GRAPE.221837.mzML.Peak.area","GRAPE.221838.mzML.Peak.area","GRAPE.221848.mzML.Peak.area","GRAPE.221836.mzML.Peak.area","GRAPE.221856.mzML.Peak.area","GRAPE.221835.mzML.Peak.area","GRAPE.221849.mzML.Peak.area","GRAPE.221846.mzML.Peak.area","GRAPE.221857.mzML.Peak.area","GRAPE.221847.mzML.Peak.area","GRAPE.221832.mzML.Peak.area","GRAPE.221843.mzML.Peak.area","GRAPE.221868.mzML.Peak.area","GRAPE.221859.mzML.Peak.area","GRAPE.221850.mzML.Peak.area","GRAPE.221860.mzML.Peak.area","GRAPE.221858.mzML.Peak.area","GRAPE.221869.mzML.Peak.area"
"1","Indoxyl","Trp Metabolism","Monoisotopic","132.0455","132.0288"," 1.230730","4.13","-135.57309","feature_375","   80272.760"," 109607.340","   83840.270","   77827.560","   58119.703","   55443.082","   93084.770"," 113782.930","   86250.766","   81585.620","  118279.230","  101577.060","   94005.125","   70653.900","   75156.100","   58222.230","  68075.080","  98590.580","   52045.152","   94656.930","  102708.490","  127733.484","  153876.690","  189675.530","   63257.066","   78441.280","   90866.970","   97346.550","   37916.168","   55046.492","   48878.270","  34470.004","   88848.520","   58105.310","   81666.640","   83502.960","   57236.990","   90270.980"
"2","Karrikin 2","karrikins","Monoisotopic","135.0088","135.0170"," 1.443241","5.01","-147.13532","feature_794","  173788.950"," 152977.700","  166116.530","  179806.140","  157151.220","  120295.660","  179761.560"," 174814.770","  182887.940","  167498.300","  203922.450","  173378.250","  188132.170","  191646.120","  169558.530","  178723.330"," 174875.190"," 174662.950","  152640.560","  182793.250","  186145.940","  175781.520","  221985.700","  216960.440","  178915.950","  189392.230","  181439.550","  204448.600","  173052.500","  180608.120","  161314.730"," 174405.480","  191799.580","  199009.610","  216177.380","  182764.060","  164086.580","  201815.550"
"3","Karrikin 2","karrikins","Monoisotopic","135.0088","135.0170"," 1.596412","5.01","-113.82874","feature_964","   66343.540","  64404.527","   67608.870","   72179.130","   59381.164","   46619.598","  104475.930","  58740.895","   81942.660","   72454.680","   87349.970","   83895.740","   77155.164","   80058.150","   99461.180","   76442.016","  59801.340","  73133.040","   58889.670","   78503.640","   88734.266","   77617.670","   99624.530","   94689.360","   70104.170","   66812.010","   81233.460","   87469.836","   59647.090","   79141.670","   83899.914","  78850.090","   72079.336","   75300.170","   86981.120","       0.000","   85064.080","   69068.280"
"4","Karrikin 2","karrikins","Monoisotopic","135.0088","135.0285"," 1.314106","5.01","-181.24787","feature_520","  105733.520"," 165095.230","  128329.580","  130948.020","  112855.960","   20352.637","   86406.440"," 137646.100","  145585.640","  131821.200","  169912.220","  110301.070","  139889.110","  176328.020","  111363.945","  135964.720"," 115992.555"," 135605.920","   81352.390","   70789.414","  149218.520","   97749.310","  152098.800","  133527.810","  114911.330","  213114.840","  137591.190","  117980.760","  127779.590","  106308.980","  109765.910"," 158042.230","  142048.220","  157711.830","  128008.100","  359548.500","  116636.540","  147390.360"
"5","Salicyclic acid","SA","Monoisotopic","137.0244","137.0229","13.688899","4.93","  36.01458","feature_1837","       0.000","   7826.582","    9941.745","   10758.978","    5170.921","   10176.695","   13864.764","  10407.764","   11343.548","   11214.646","   22093.280","   13715.696","   13006.059","   18162.541","   10636.125","   16675.062","   8076.124","   9027.779","    8008.943","   10891.867","   15152.298","    8588.539","    5821.650","   11484.484","   12853.593","   16493.775","   14187.066","   13834.681","   10973.621","   13672.055","    7042.898","  15927.990","   11060.287","    9428.227","   17490.322","    4097.458","   11131.295","   14213.491"
"6","Salicyclic acid","SA","Monoisotopic","137.0244","137.0232","11.491663","4.93","  42.90067","feature_1660","    9803.132","      0.000","    6351.090","    6697.273","    7728.067","       0.000","       0.000","      0.000","    6010.227","    6409.860","   28502.568","       0.000","    6408.423","   20288.500","    5144.999","   13280.584","      0.000","      0.000","       0.000","       0.000","       0.000","    5840.678","    8787.689","    9612.084","    7923.722","       0.000","   11834.684","    5084.432","    9444.280","    6675.732","       0.000","  17041.658","    4726.743","    5296.498","   15074.203","       0.000","    4866.407","   10781.415"
"7","Salicyclic acid","SA","Monoisotopic","137.0244","137.0232","21.102291","4.93","  23.36239","feature_2712","   16588.383","  13082.417","   14587.998","   14927.439","   19896.395","    8189.378","   12217.497","  21995.977","   14202.118","   16126.944","   30673.238","   14823.858","   14413.845","   23726.705","   14354.887","   16763.090","  10954.021","  12850.886","    8676.633","   11976.671","   18122.256","   23914.023","   26803.525","   22990.465","   13133.497","    7546.774","   16457.967","   25022.043","   17265.355","   16166.419","    9857.932","  19000.195","   15089.940","   11477.269","   22113.557","       0.000","   16484.072","   14373.621"
"8","Salicyclic acid","SA","Monoisotopic","137.0244","137.0232","10.725420","4.93","  45.96557","feature_1624","   30751.350","   9776.674","   22087.125","   23974.836","   19678.630","    8423.606","   29547.290","   5224.125","   25092.875","   24242.174","   46396.390","   29572.896","   25380.146","   42086.246","   32330.434","   37824.742","  15501.362","  21318.006","   11665.178","   20855.720","   25450.135","   28377.193","   26342.732","   30126.494","   34451.560","   14899.152","   36210.145","   25102.254","   28339.506","   29843.645","   29578.059","  76377.000","   34437.484","   17374.615","   31849.275","       0.000","   27471.020","   39991.410"
"9","2,3-dihydroxyindole","Trp Metabolism","Monoisotopic","148.0404","148.0319"," 3.312915","4.98","  49.67919","feature_1290","   11571.248","      0.000","       0.000","    7820.689","    9003.575","       0.000","   11514.493","   5692.019","    9508.758","    9919.775","   19775.148","   14173.865","    9941.654","   12912.286","   12462.340","   12998.482","   8633.407","  11166.384","    6323.424","    9284.951","    8347.111","   16870.660","   12258.629","   12447.358","    8050.654","       0.000","   13648.944","   10315.732","       0.000","   10469.183","    9455.300","   9246.627","   15180.970","    9430.008","   16976.210","       0.000","       0.000","   11956.221"
"10","Karrikin 11","karrikins","Monoisotopic","149.0244","149.0078"," 1.334794","3.40"," -54.72095","feature_568","12500000.000","9853485.000","11700000.000","11700000.000","10800000.000","11000000.000","13000000.000","9558022.000","12500000.000","13000000.000","12800000.000","12200000.000","13600000.000","12300000.000","13400000.000","15700000.000","8636323.000","9807129.000","10200000.000","10300000.000","11000000.000","12300000.000","11100000.000","14900000.000","13100000.000","11300000.000","11200000.000","12800000.000","10100000.000","11100000.000","12600000.000","8976325.000","11400000.000","10800000.000","12400000.000","12000000.000","10800000.000","15500000.000"
"11","Karrikin 11","karrikins","Monoisotopic","149.0244","149.0078"," 1.334794","6.85","-313.18780","feature_568","12500000.000","9853485.000","11700000.000","11700000.000","10800000.000","11000000.000","13000000.000","9558022.000","12500000.000","13000000.000","12800000.000","12200000.000","13600000.000","12300000.000","13400000.000","15700000.000","8636323.000","9807129.000","10200000.000","10300000.000","11000000.000","12300000.000","11100000.000","14900000.000","13100000.000","11300000.000","11200000.000","12800000.000","10100000.000","11100000.000","12600000.000","8976325.000","11400000.000","10800000.000","12400000.000","12000000.000","10800000.000","15500000.000"
"12","Karrikin 11","karrikins","Monoisotopic","149.0244","149.0078"," 1.334794","6.85","-313.18780","feature_568","12500000.000","9853485.000","11700000.000","11700000.000","10800000.000","11000000.000","13000000.000","9558022.000","12500000.000","13000000.000","12800000.000","12200000.000","13600000.000","12300000.000","13400000.000","15700000.000","8636323.000","9807129.000","10200000.000","10300000.000","11000000.000","12300000.000","11100000.000","14900000.000","13100000.000","11300000.000","11200000.000","12800000.000","10100000.000","11100000.000","12600000.000","8976325.000","11400000.000","10800000.000","12400000.000","12000000.000","10800000.000","15500000.000"
"13","Karrikin 11","karrikins","Monoisotopic","149.0244","149.0078"," 1.334794","3.40"," -54.72095","feature_568","12500000.000","9853485.000","11700000.000","11700000.000","10800000.000","11000000.000","13000000.000","9558022.000","12500000.000","13000000.000","12800000.000","12200000.000","13600000.000","12300000.000","13400000.000","15700000.000","8636323.000","9807129.000","10200000.000","10300000.000","11000000.000","12300000.000","11100000.000","14900000.000","13100000.000","11300000.000","11200000.000","12800000.000","10100000.000","11100000.000","12600000.000","8976325.000","11400000.000","10800000.000","12400000.000","12000000.000","10800000.000","15500000.000"
"14","Karrikin 6","karrikins","Monoisotopic","149.0244","149.0078"," 1.334794","4.96","-171.59292","feature_568","12500000.000","9853485.000","11700000.000","11700000.000","10800000.000","11000000.000","13000000.000","9558022.000","12500000.000","13000000.000","12800000.000","12200000.000","13600000.000","12300000.000","13400000.000","15700000.000","8636323.000","9807129.000","10200000.000","10300000.000","11000000.000","12300000.000","11100000.000","14900000.000","13100000.000","11300000.000","11200000.000","12800000.000","10100000.000","11100000.000","12600000.000","8976325.000","11400000.000","10800000.000","12400000.000","12000000.000","10800000.000","15500000.000"
"15","Karrikin 5","karrikins","Monoisotopic","149.0244","149.0078"," 1.334794","5.15","-185.82733","feature_568","12500000.000","9853485.000","11700000.000","11700000.000","10800000.000","11000000.000","13000000.000","9558022.000","12500000.000","13000000.000","12800000.000","12200000.000","13600000.000","12300000.000","13400000.000","15700000.000","8636323.000","9807129.000","10200000.000","10300000.000","11000000.000","12300000.000","11100000.000","14900000.000","13100000.000","11300000.000","11200000.000","12800000.000","10100000.000","11100000.000","12600000.000","8976325.000","11400000.000","10800000.000","12400000.000","12000000.000","10800000.000","15500000.000"
"16","3-Hydroxyanthranilic acid","Trp Metabolism","Monoisotopic","152.0353","152.0341","23.514088","4.19","  17.81910","feature_3402","   11965.516","  17308.922","   12688.356","   13637.460","   17554.588","   12957.210","    9519.605","  25934.418","   14989.024","   14867.763","   24303.980","   11480.563","   15007.939","   21036.986","   17065.523","   22847.088","   9251.040","  14532.827","    7614.776","   11641.008","   14261.868","   28644.440","   13791.466","   13510.834","    9211.011","   14507.324","   15805.187","   17463.113","   17014.049","   12712.748","   11029.384","  17933.902","   11760.966","   12019.643","   15378.328","       0.000","   11254.619","   13697.929"
"17","Levodopa","Catecholamines","Monoisotopic","196.0615","196.0533"," 1.269453","3.38"," -66.25635","feature_461","   81157.900","  86564.164","  113747.540","  104484.195","   99237.100","   40832.940","  110698.210","  53368.860","  116920.914","  116604.560","  257926.220","  170816.270","  118586.130","  171420.170","   99933.300","  118289.090","  81277.234","  81475.016","   56640.016","   78311.630","       0.000","  129377.750","  189208.500","  167456.890","  138621.880","   90346.805","  138243.060","  103596.586","  133146.140","   89146.530","   96266.410"," 135775.190","  165354.750","  104889.980","  182067.640","  150577.330","   94839.234","  133851.030"
